Number 1 to 100000
3522 and 16436 are FRIENDLY
3534 and 16492 are FRIENDLY
3540 and 69030 are FRIENDLY
3556 and 62992 are FRIENDLY
3558 and 16604 are FRIENDLY
3560 and 19936 are FRIENDLY
3594 and 16772 are FRIENDLY
3606 and 16828 are FRIENDLY
3612 and 11610 are FRIENDLY
3612 and 63984 are FRIENDLY
3612 and 70434 are FRIENDLY
3630 and 16940 are FRIENDLY
3642 and 16996 are FRIENDLY
3660 and 71370 are FRIENDLY
3666 and 17108 are FRIENDLY
3668 and 64976 are FRIENDLY
3678 and 17164 are FRIENDLY
3684 and 71838 are FRIENDLY
3702 and 17276 are FRIENDLY
3714 and 17332 are FRIENDLY
3720 and 20832 are FRIENDLY
3732 and 72774 are FRIENDLY
3750 and 17500 are FRIENDLY
3756 and 73242 are FRIENDLY
3760 and 9400 are FRIENDLY
3774 and 17612 are FRIENDLY
3780 and 66960 are FRIENDLY
3786 and 17668 are FRIENDLY
3804 and 74178 are FRIENDLY
3810 and 17780 are FRIENDLY
3828 and 74646 are FRIENDLY
3836 and 67952 are FRIENDLY
3846 and 17948 are FRIENDLY
3858 and 18004 are FRIENDLY
3876 and 75582 are FRIENDLY
3880 and 21728 are FRIENDLY
3882 and 18116 are FRIENDLY
3892 and 68944 are FRIENDLY
3894 and 18172 are FRIENDLY
3915 and 23751 are FRIENDLY
3918 and 18284 are FRIENDLY
3920 and 9800 are FRIENDLY
3930 and 18340 are FRIENDLY
3948 and 12690 are FRIENDLY
3948 and 69936 are FRIENDLY
3948 and 76986 are FRIENDLY
3954 and 18452 are FRIENDLY
3960 and 22176 are FRIENDLY
3966 and 18508 are FRIENDLY
3972 and 77454 are FRIENDLY
4002 and 18676 are FRIENDLY
4004 and 70928 are FRIENDLY
4020 and 78390 are FRIENDLY
4026 and 18788 are FRIENDLY
4038 and 18844 are FRIENDLY
4040 and 22624 are FRIENDLY
4044 and 78858 are FRIENDLY
4060 and 71920 are FRIENDLY
4062 and 18956 are FRIENDLY
4080 and 10200 are FRIENDLY
4092 and 79794 are FRIENDLY
4098 and 19124 are FRIENDLY
4110 and 19180 are FRIENDLY
4116 and 50274 are FRIENDLY
4116 and 80262 are FRIENDLY
4120 and 23072 are FRIENDLY
4134 and 19292 are FRIENDLY
4146 and 19348 are FRIENDLY
4164 and 81198 are FRIENDLY
4170 and 19460 are FRIENDLY
4172 and 73904 are FRIENDLY
4182 and 19516 are FRIENDLY
4185 and 25389 are FRIENDLY
4188 and 81666 are FRIENDLY
4206 and 19628 are FRIENDLY
4218 and 19684 are FRIENDLY
4228 and 74896 are FRIENDLY
4236 and 82602 are FRIENDLY
4240 and 10600 are FRIENDLY
4254 and 19852 are FRIENDLY
4260 and 83070 are FRIENDLY
4278 and 19964 are FRIENDLY
4280 and 23968 are FRIENDLY
4284 and 75888 are FRIENDLY
4290 and 20020 are FRIENDLY
4308 and 84006 are FRIENDLY
